,Date,Rainfall_Terni,Flow_Rate_Lupa
71,2009-06-20,3.062,-142.61
72,2009-06-21,3.062,-141.92
73,2009-06-22,3.062,-141.6
74,2009-06-23,3.062,-140.56
75,2009-06-24,3.062,-140.06
76,2009-06-25,3.062,-139.6
77,2009-06-26,3.062,-138.93
78,2009-06-27,3.062,-138.09
79,2009-06-28,3.062,-137.4
80,2009-06-29,3.062,-136.73
81,2009-06-30,3.062,-135.97
82,2009-07-01,1.276,-134.99
83,2009-07-02,1.276,-134.52
84,2009-07-03,1.276,-134.31
85,2009-07-04,1.276,-133.7
86,2009-07-05,1.276,-133.56
87,2009-07-06,1.276,-134.17
88,2009-07-07,1.276,-133.88
89,2009-07-08,1.276,-133.62
90,2009-07-09,1.276,-132.81
91,2009-07-10,1.276,-132.12
92,2009-07-11,1.276,-131.21
93,2009-07-12,1.276,-130.35
94,2009-07-13,1.276,-129.62
95,2009-07-14,1.276,-128.9
96,2009-07-15,1.276,-128.23
97,2009-07-16,1.276,-127.51
98,2009-07-17,1.276,-126.75
99,2009-07-18,1.276,-125.65
100,2009-07-19,1.276,-124.86
101,2009-07-20,1.276,-124.47
102,2009-07-21,1.276,-123.8
103,2009-07-22,1.276,-123.12
104,2009-07-23,1.276,-122.42
105,2009-07-24,1.276,-121.83
106,2009-07-25,1.276,-121.13
107,2009-07-26,1.276,-120.47
108,2009-07-27,1.276,-119.98
109,2009-07-28,1.276,-119.35
110,2009-07-29,1.276,-118.77
111,2009-07-30,1.276,-118.39
112,2009-07-31,1.276,-117.86
113,2009-08-01,0.95,-117.19
114,2009-08-02,0.95,-116.51
115,2009-08-03,0.95,-116.11
116,2009-08-04,0.95,-115.68
117,2009-08-05,0.95,-115.22
118,2009-08-06,0.95,-114.8
119,2009-08-07,0.95,-114.36
120,2009-08-08,0.95,-113.77
121,2009-08-09,0.95,-112.92
122,2009-08-10,0.95,-112.36
123,2009-08-11,0.95,-111.77
124,2009-08-12,0.95,-111.25
125,2009-08-13,0.95,-110.64
126,2009-08-14,0.95,-110.1
127,2009-08-15,0.95,-109.46
128,2009-08-16,0.95,-108.71
129,2009-08-17,0.95,-107.88
130,2009-08-18,0.95,-107.23
131,2009-08-19,0.95,-106.7
132,2009-08-20,0.95,-106.23
133,2009-08-21,0.95,-105.56
134,2009-08-22,0.95,-104.88
135,2009-08-23,0.95,-104.0
136,2009-08-24,0.95,-103.4
137,2009-08-25,0.95,-102.87
138,2009-08-26,0.95,0.0
139,2009-08-27,0.95,-101.85
140,2009-08-28,0.95,-101.28
141,2009-08-29,0.95,-100.72
142,2009-08-30,0.95,-100.16
143,2009-08-31,0.95,-99.62
144,2009-09-01,3.57,-99.14
145,2009-09-02,3.57,-98.7
146,2009-09-03,3.57,-98.18
147,2009-09-04,3.57,-97.78
148,2009-09-05,3.57,-97.08
149,2009-09-06,3.57,-96.35
150,2009-09-07,3.57,-96.17
151,2009-09-08,3.57,-95.81
152,2009-09-09,3.57,-95.43
153,2009-09-10,3.57,-95.1
154,2009-09-11,3.57,-94.68
155,2009-09-12,3.57,-94.12
156,2009-09-13,3.57,-93.47
157,2009-09-14,3.57,-93.25
158,2009-09-15,3.57,-92.9
159,2009-09-16,3.57,-92.81
160,2009-09-17,3.57,-92.68
161,2009-09-18,3.57,-92.27
162,2009-09-19,3.57,-91.81
163,2009-09-20,3.57,-91.25
164,2009-09-21,3.57,-90.81
165,2009-09-22,3.57,-90.66
166,2009-09-23,3.57,-90.23
167,2009-09-24,3.57,-89.8
168,2009-09-25,3.57,-89.33
169,2009-09-26,3.57,-88.59
170,2009-09-27,3.57,-88.07
171,2009-09-28,3.57,-87.86
172,2009-09-29,3.57,-87.42
173,2009-09-30,3.57,-86.99
174,2009-10-01,2.562,-86.53
175,2009-10-02,2.562,-86.12
176,2009-10-03,2.562,-85.54
177,2009-10-04,2.562,-85.02
178,2009-10-05,2.562,-84.83
179,2009-10-06,2.562,-84.47
180,2009-10-07,2.562,-84.05
181,2009-10-08,2.562,-83.63
182,2009-10-09,2.562,-83.22
183,2009-10-10,2.562,-82.13
184,2009-10-11,2.562,-82.19
185,2009-10-12,2.562,-81.5
186,2009-10-13,2.562,-81.57
187,2009-10-14,2.562,-81.43
188,2009-10-15,2.562,-81.33
189,2009-10-16,2.562,-81.25
190,2009-10-17,2.562,-80.88
191,2009-10-18,2.562,-80.42
192,2009-10-19,2.562,-80.13
193,2009-10-20,2.562,-79.83
194,2009-10-21,2.562,-79.4
195,2009-10-22,2.562,-78.43
196,2009-10-23,2.562,-78.25
197,2009-10-24,2.562,-78.02
198,2009-10-25,2.562,-77.39
199,2009-10-26,2.562,-77.02
200,2009-12-16,5.308,-77.55
201,2009-12-17,5.308,-77.56
202,2009-12-20,5.308,-77.57
203,2009-12-21,5.308,-77.58
204,2009-12-22,5.308,-77.59
205,2009-12-23,5.308,-77.6
206,2009-12-24,5.308,-77.61
207,2009-12-25,5.308,-77.62
208,2009-12-26,5.308,-77.63
209,2009-12-27,5.308,-77.64
210,2009-12-28,5.308,-77.65
211,2009-12-29,5.308,-77.66
212,2009-12-30,5.308,-77.67
213,2009-12-31,5.308,-77.68
214,2010-01-01,3.273,-77.69
215,2010-01-02,3.273,-77.7
216,2010-01-03,3.273,-77.71
217,2010-01-04,3.273,-77.72
218,2010-01-05,3.273,-77.73
219,2010-01-06,3.273,-77.74
220,2010-01-07,3.273,-77.75
221,2010-01-08,3.273,-77.76
222,2010-01-09,3.273,-77.77
223,2010-01-10,3.273,-77.78
224,2010-01-11,3.273,-77.79
225,2010-01-12,3.273,-77.8
226,2010-01-13,3.273,-77.81
227,2010-01-14,3.273,-77.82
228,2010-01-15,3.273,-77.83
229,2010-01-16,3.273,-77.84
230,2010-01-17,3.273,-77.85
231,2010-01-18,3.273,-77.86
232,2010-01-19,3.273,-77.87
233,2010-01-20,3.273,-77.88
234,2010-01-21,3.273,-77.89
235,2010-01-22,3.273,-77.9
236,2010-01-23,3.273,-77.91
237,2010-01-24,3.273,-77.92
238,2010-01-25,3.273,-77.93
239,2010-01-26,3.273,-77.94
240,2010-01-27,3.273,-77.95
241,2010-01-28,3.273,-77.96
242,2010-01-29,3.273,-77.97
243,2010-01-30,3.273,-77.98
244,2010-01-31,3.273,-77.99
245,2010-02-01,3.739,-78.0
246,2010-02-02,3.739,-78.01
247,2010-02-03,3.739,-78.02
248,2010-02-04,3.739,-78.05
249,2010-02-05,3.739,-78.06
250,2010-02-06,3.739,-78.07
251,2010-02-07,3.739,-78.08
252,2010-02-10,3.739,-78.09
253,2010-02-11,3.739,-78.1
254,2010-02-12,3.739,-78.11
255,2010-02-13,3.739,-78.12
256,2010-02-14,3.739,-78.13
257,2010-02-15,3.739,-78.14
258,2010-02-16,3.739,-78.15
259,2010-02-17,3.739,-78.16
260,2010-02-18,3.739,-78.17
261,2010-02-19,3.739,-78.18
262,2010-02-20,3.739,-78.19
263,2010-02-21,3.739,-78.2
264,2010-02-22,3.739,-78.21
265,2010-02-23,3.739,-78.22
266,2010-02-24,3.739,-78.23
267,2010-02-25,3.739,-78.24
268,2010-02-26,3.739,-78.25
269,2010-02-27,3.739,-78.26
270,2010-02-28,3.739,-78.27
271,2010-03-01,2.508,-78.28
272,2010-03-02,2.508,-78.29
273,2010-03-03,2.508,-78.3
274,2010-03-04,2.508,-78.31
275,2010-03-05,2.508,-78.32
276,2010-03-06,2.508,-78.33
277,2010-03-07,2.508,-78.34
278,2010-03-08,2.508,-78.35
279,2010-03-09,2.508,-78.36
280,2010-03-10,2.508,-78.37
281,2010-03-11,2.508,-78.38
282,2010-03-12,2.508,-78.39
283,2010-03-13,2.508,-78.4
284,2010-03-14,2.508,-78.41
285,2010-03-15,2.508,-78.42
286,2010-03-16,2.508,-78.43
287,2010-03-17,2.508,-78.44
288,2010-03-18,2.508,-78.45
289,2010-03-19,2.508,-78.46
290,2010-03-20,2.508,-78.47
291,2010-03-21,2.508,-78.48
292,2010-03-22,2.508,-78.49
293,2010-03-23,2.508,-78.5
294,2010-03-24,2.508,-78.51
295,2010-03-25,2.508,-78.52
296,2010-03-26,2.508,-78.55
297,2010-03-27,2.508,-78.56
298,2010-03-28,2.508,-78.57
299,2010-03-29,2.508,-78.58
300,2010-03-30,2.508,-78.59
301,2010-03-31,2.508,-78.6
302,2010-04-01,3.165,-79.11
303,2010-04-02,3.165,-79.12
304,2010-04-03,3.165,-78.61
305,2010-04-04,3.165,-78.62
306,2010-04-05,3.165,-78.63
307,2010-04-06,3.165,-78.64
308,2010-04-07,3.165,-78.65
309,2010-04-08,3.165,-78.66
310,2010-04-09,3.165,-78.67
311,2010-04-10,3.165,-78.68
312,2010-04-11,3.165,-78.69
313,2010-04-12,3.165,-78.7
314,2010-04-13,3.165,-78.71
315,2010-04-14,3.165,-78.72
316,2010-04-15,3.165,-78.73
317,2010-04-16,3.165,-79.24
318,2010-04-17,3.165,-78.75
319,2010-04-18,3.165,-78.76
320,2010-04-19,3.165,-78.77
321,2010-04-20,3.165,-78.78
322,2010-04-21,3.165,-78.79
323,2010-04-22,3.165,-78.8
324,2010-04-23,3.165,-78.81
325,2010-04-24,3.165,-78.82
326,2010-04-25,3.165,-78.83
327,2010-04-26,3.165,-78.84
328,2010-04-27,3.165,-78.85
329,2010-04-28,3.165,-78.86
330,2010-04-29,3.165,-78.87
331,2010-04-30,3.165,-78.88
332,2010-05-01,4.1,-78.89
333,2010-05-02,4.1,-78.9
334,2010-05-03,4.1,-78.91
335,2010-05-04,4.1,-78.92
336,2010-05-05,4.1,-78.93
337,2010-05-06,4.1,-78.94
338,2010-05-07,4.1,-78.95
339,2010-05-08,4.1,-78.96
340,2010-05-09,4.1,-78.97
341,2010-05-10,4.1,-78.98
342,2010-05-11,4.1,-78.99
343,2010-05-12,4.1,-79.0
344,2010-05-13,4.1,-79.01
345,2010-05-14,4.1,-79.02
346,2010-08-23,0.758,-79.55
347,2010-08-24,0.758,-79.56
348,2010-08-25,0.758,-79.57
349,2010-08-26,0.758,-79.58
350,2010-08-27,0.758,-79.59
351,2010-08-28,0.758,-79.6
352,2010-08-29,0.758,-79.61
353,2010-08-30,0.758,-79.62
354,2010-08-31,0.758,-79.63
355,2010-09-01,1.41,-79.64
356,2010-09-04,1.41,-79.65
357,2010-09-05,1.41,-79.66
358,2010-09-06,1.41,-79.67
359,2010-09-07,1.41,-79.68
360,2010-09-08,1.41,-79.69
361,2010-09-09,1.41,-79.7
362,2010-09-10,1.41,-79.71
363,2010-09-11,1.41,-79.72
364,2010-09-12,1.41,-79.73
365,2010-09-13,1.41,-79.74
366,2010-09-14,1.41,-79.75
367,2010-09-15,1.41,-79.76
368,2010-09-16,1.41,-79.77
369,2010-09-17,1.41,-79.78
370,2010-09-18,1.41,-79.79
371,2010-09-19,1.41,-79.8
372,2010-09-20,1.41,-79.81
373,2010-09-21,1.41,-79.82
374,2010-09-22,1.41,-79.83
375,2010-09-23,1.41,-79.84
376,2010-09-24,1.41,-79.85
377,2010-09-25,1.41,-79.86
378,2010-09-26,1.41,-79.87
379,2010-09-27,1.41,-79.88
380,2010-09-28,1.41,-79.89
381,2010-09-29,1.41,-79.9
382,2010-09-30,1.41,-79.91
383,2010-10-01,3.028,-79.92
384,2010-10-02,3.028,-79.93
385,2010-10-03,3.028,-79.94
386,2010-10-04,3.028,-79.95
387,2010-10-05,3.028,-79.96
388,2010-10-06,3.028,-79.97
389,2010-10-07,3.028,-79.98
390,2010-10-08,3.028,-79.99
391,2010-10-09,3.028,-80.0
392,2010-10-10,3.028,-80.01
393,2010-10-11,3.028,-80.02
394,2010-10-12,3.028,-80.05
395,2010-10-13,3.028,-80.06
396,2010-10-14,3.028,-80.07
397,2010-10-15,3.028,-80.08
398,2010-10-16,3.028,-80.09
399,2010-10-17,3.028,-80.1
400,2010-10-18,3.028,-80.11
401,2010-10-19,3.028,-80.12
402,2010-10-20,3.028,-80.13
403,2010-10-21,3.028,-80.14
404,2010-10-22,3.028,-80.15
405,2010-10-23,3.028,-80.16
406,2010-10-26,3.028,-80.17
407,2010-10-27,3.028,-80.18
408,2010-10-28,3.028,-80.19
409,2010-10-29,3.028,-80.2
410,2010-10-30,3.028,-80.21
411,2010-10-31,3.028,-80.22
412,2010-11-01,7.96,-80.23
413,2010-11-02,7.96,-80.24
414,2010-11-03,7.96,-80.25
415,2010-11-04,7.96,-80.26
416,2010-11-05,7.96,-80.27
417,2010-11-06,7.96,-80.28
418,2010-11-07,7.96,-80.29
419,2010-11-08,7.96,-80.3
420,2010-11-09,7.96,-80.31
421,2010-11-10,7.96,-80.32
422,2010-11-11,7.96,-80.33
423,2010-11-12,7.96,-80.34
424,2010-11-13,7.96,-80.35
425,2010-11-14,7.96,-80.36
426,2010-11-15,7.96,-80.37
427,2010-11-16,7.96,-80.38
428,2010-11-17,7.96,-80.39
429,2010-11-18,7.96,-80.4
430,2010-11-19,7.96,-80.41
431,2010-11-20,7.96,-80.42
432,2010-11-21,7.96,-80.43
433,2010-11-22,7.96,-80.44
434,2010-11-23,7.96,-80.45
435,2010-11-24,7.96,-80.46
436,2010-11-25,7.96,-80.47
437,2010-11-26,7.96,-80.48
438,2010-11-27,7.96,-80.49
439,2010-11-28,7.96,-80.5
440,2010-11-29,7.96,-80.51
441,2010-11-30,7.96,-80.52
442,2010-12-01,3.533,-80.55
443,2010-12-02,3.533,-80.56
444,2010-12-03,3.533,-80.57
445,2010-12-04,3.533,-80.58
446,2010-12-05,3.533,-80.59
447,2010-12-06,3.533,-80.6
448,2010-12-07,3.533,-80.61
449,2010-12-08,3.533,-80.62
450,2010-12-09,3.533,-80.63
451,2010-12-10,3.533,-80.64
452,2010-12-11,3.533,-80.65
453,2010-12-12,3.533,-80.66
454,2010-12-13,3.533,-80.67
455,2010-12-14,3.533,-80.68
456,2010-12-17,3.533,-80.69
457,2010-12-18,3.533,-80.7
458,2010-12-19,3.533,-80.71
459,2010-12-20,3.533,-80.72
460,2010-12-21,3.533,-80.73
461,2010-12-22,3.533,-80.74
462,2010-12-23,3.533,-80.75
463,2010-12-24,3.533,-80.76
464,2010-12-25,3.533,-80.77
465,2010-12-26,3.533,-80.78
466,2010-12-27,3.533,-80.79
467,2010-12-28,3.533,-80.8
468,2010-12-29,3.533,-80.81
469,2010-12-30,3.533,-80.82
470,2010-12-31,3.533,-80.83
471,2011-01-01,1.713,-80.84
472,2011-01-02,1.713,-80.85
473,2011-01-03,1.713,-80.86
474,2011-01-04,1.713,-80.87
475,2011-01-05,1.713,-80.88
476,2011-01-06,1.713,-80.89
477,2011-01-07,1.713,-80.9
478,2011-01-08,1.713,-80.91
479,2011-01-09,1.713,-80.92
480,2011-01-10,1.713,-80.93
481,2011-01-11,1.713,-80.94
482,2011-01-12,1.713,-80.95
483,2011-01-13,1.713,-80.96
484,2011-01-14,1.713,-80.97
485,2011-01-15,1.713,-80.98
486,2011-01-16,1.713,-80.99
487,2011-01-17,1.713,-81.0
488,2011-01-18,1.713,-81.01
489,2011-01-19,1.713,-81.02
490,2011-01-20,1.713,-81.05
491,2011-01-21,1.713,-81.06
492,2011-01-22,1.713,-81.07
493,2011-01-23,1.713,-81.08
494,2011-01-24,1.713,-81.09
495,2011-01-25,1.713,-81.1
496,2011-01-26,1.713,-81.11
497,2011-01-27,1.713,-81.12
498,2011-01-28,1.713,-81.13
499,2011-01-29,1.713,-81.14
500,2011-01-30,1.713,-81.15
501,2011-01-31,1.713,-81.16
502,2011-02-01,1.716,-81.17
503,2011-02-02,1.716,-81.18
504,2011-02-03,1.716,-81.19
505,2011-02-04,1.716,-81.2
506,2011-02-07,1.716,-81.21
507,2011-02-08,1.716,-81.22
508,2011-02-09,1.716,-81.23
509,2011-02-10,1.716,-81.24
510,2011-02-11,1.716,-81.25
511,2011-02-12,1.716,-81.26
512,2011-02-13,1.716,-81.27
513,2011-02-14,1.716,-81.28
514,2011-02-15,1.716,-81.29
515,2011-02-16,1.716,-81.3
516,2011-02-17,1.716,-81.31
517,2011-02-18,1.716,-81.32
518,2011-02-19,1.716,-81.33
519,2011-02-20,1.716,-81.34
520,2011-02-21,1.716,-81.35
521,2011-02-22,1.716,-81.36
522,2011-02-23,1.716,-81.37
523,2011-02-24,1.716,-81.38
524,2011-02-25,1.716,-81.39
525,2011-02-26,1.716,-81.4
526,2011-02-27,1.716,-81.41
527,2011-02-28,1.716,-81.42
528,2011-03-01,3.391,-81.43
529,2011-03-02,3.391,-81.44
530,2011-03-03,3.391,-81.45
531,2011-03-04,3.391,-81.46
532,2011-03-05,3.391,-81.47
533,2011-03-06,3.391,-81.48
534,2011-03-07,3.391,-81.49
535,2011-03-08,3.391,-81.5
536,2011-03-09,3.391,-81.51
537,2011-03-10,3.391,-81.52
538,2011-03-11,3.391,-81.55
539,2011-03-12,3.391,-81.56
540,2011-03-13,3.391,-81.57
541,2011-03-14,3.391,-81.58
542,2011-03-15,3.391,-81.59
543,2011-03-16,3.391,-81.6
544,2011-03-17,3.391,-81.61
545,2011-03-18,3.391,-81.62
546,2011-03-19,3.391,-81.63
547,2011-03-20,3.391,-81.64
548,2011-03-21,3.391,-81.65
549,2011-03-22,3.391,-81.66
550,2011-03-23,3.391,-81.67
551,2011-03-24,3.391,-81.68
552,2011-03-25,3.391,-81.69
553,2011-03-26,3.391,-81.7
554,2011-03-27,3.391,-81.71
555,2011-03-28,3.391,-81.72
556,2011-03-31,3.391,-81.73
557,2011-04-01,1.4769999999999999,-81.74
558,2011-04-02,1.4769999999999999,-81.75
559,2011-04-03,1.4769999999999999,-81.76
560,2011-04-04,1.4769999999999999,-81.77
561,2011-04-05,1.4769999999999999,-81.78
562,2011-04-06,1.4769999999999999,-81.79
563,2011-04-07,1.4769999999999999,-81.8
564,2011-04-08,1.4769999999999999,-81.81
565,2011-04-09,1.4769999999999999,-81.82
566,2011-04-10,1.4769999999999999,-81.83
567,2011-04-11,1.4769999999999999,-81.84
568,2011-04-12,1.4769999999999999,-81.85
569,2011-04-13,1.4769999999999999,-81.86
570,2011-04-14,1.4769999999999999,-81.87
571,2011-04-15,1.4769999999999999,-81.88
572,2011-04-16,1.4769999999999999,-81.89
573,2011-04-17,1.4769999999999999,-81.9
574,2011-04-18,1.4769999999999999,-81.91
575,2011-04-19,1.4769999999999999,-81.92
576,2011-04-20,1.4769999999999999,-81.93
577,2011-04-21,1.4769999999999999,-81.94
578,2011-04-22,1.4769999999999999,-81.95
579,2011-04-23,1.4769999999999999,-81.96
580,2011-04-24,1.4769999999999999,-81.97
581,2011-04-25,1.4769999999999999,-81.98
582,2011-04-26,1.4769999999999999,-81.99
583,2011-04-27,1.4769999999999999,-82.0
584,2011-04-28,1.4769999999999999,-82.01
585,2011-04-29,1.4769999999999999,-82.02
586,2011-04-30,1.4769999999999999,-82.05
587,2011-05-01,1.63,-82.06
588,2011-05-02,1.63,-82.07
589,2011-05-03,1.63,-82.08
590,2011-05-04,1.63,-82.09
591,2011-05-05,1.63,-82.1
592,2011-05-06,1.63,-82.11
593,2011-05-07,1.63,-82.12
594,2011-05-08,1.63,-82.13
595,2011-05-09,1.63,-82.14
596,2011-05-10,1.63,-82.15
597,2011-05-11,1.63,-82.16
598,2011-05-12,1.63,-82.17
599,2011-05-13,1.63,-82.18
600,2011-05-14,1.63,-82.19
601,2011-05-15,1.63,-82.2
602,2011-05-16,1.63,-82.21
603,2011-05-17,1.63,-82.22
604,2011-05-18,1.63,-82.23
605,2011-05-19,1.63,-82.24
606,2011-05-22,1.63,-82.25
607,2011-05-23,1.63,-82.26
608,2011-05-24,1.63,-82.27
609,2011-05-25,1.63,-82.28
610,2011-05-26,1.63,-82.29
611,2011-05-27,1.63,-82.3
612,2011-05-28,1.63,-82.31
613,2011-05-29,1.63,-82.32
614,2011-05-30,1.63,-82.33
615,2011-05-31,1.63,-82.34
616,2011-06-01,1.9669999999999999,-82.35
617,2011-06-02,1.9669999999999999,-82.36
618,2011-06-03,1.9669999999999999,-82.37
619,2011-06-04,1.9669999999999999,-82.38
620,2011-06-05,1.9669999999999999,-82.39
621,2011-06-06,1.9669999999999999,-82.4
622,2011-06-07,1.9669999999999999,-82.41
623,2011-06-08,1.9669999999999999,-82.42
624,2011-06-09,1.9669999999999999,-82.43
625,2011-06-10,1.9669999999999999,-82.44
626,2011-06-11,1.9669999999999999,-82.45
627,2011-06-12,1.9669999999999999,-82.46
628,2011-06-13,1.9669999999999999,-82.47
629,2011-06-14,1.9669999999999999,-82.48
630,2011-06-15,1.9669999999999999,-82.49
631,2011-06-16,1.9669999999999999,-82.5
632,2011-06-17,1.9669999999999999,-82.51
633,2011-06-18,1.9669999999999999,-82.52
634,2011-06-19,1.9669999999999999,-82.55
635,2011-06-20,1.9669999999999999,-82.56
636,2011-06-21,1.9669999999999999,-82.57
637,2011-06-22,1.9669999999999999,-82.58
638,2011-06-23,1.9669999999999999,-82.59
639,2011-06-24,1.9669999999999999,-82.6
640,2011-06-25,1.9669999999999999,-82.61
641,2011-06-26,1.9669999999999999,-82.62
642,2011-06-27,1.9669999999999999,-82.63
643,2011-06-28,1.9669999999999999,-82.64
644,2011-06-29,1.9669999999999999,-82.65
645,2011-06-30,1.9669999999999999,-82.66
646,2011-07-01,2.334,-82.67
647,2011-07-02,2.334,-82.68
648,2011-07-03,2.334,-82.69
649,2011-07-04,2.334,-82.7
650,2011-07-05,2.334,-82.71
651,2011-07-06,2.334,-82.72
652,2011-07-07,2.334,-82.73
653,2011-07-08,2.334,-82.74
654,2011-07-09,2.334,-82.75
655,2011-07-10,2.334,-82.76
656,2011-07-13,2.334,-82.77
657,2011-07-14,2.334,-82.78
658,2011-07-15,2.334,-82.79
659,2011-07-16,2.334,-82.8
660,2011-07-17,2.334,-82.81
661,2011-07-18,2.334,-82.82
662,2011-07-19,2.334,-82.83
663,2011-07-20,2.334,-82.84
664,2011-07-21,2.334,-82.85
665,2011-07-22,2.334,-82.86
666,2011-07-23,2.334,-82.87
667,2011-07-24,2.334,-82.88
668,2011-07-25,2.334,-82.89
669,2011-07-26,2.334,-82.9
670,2011-07-27,2.334,-82.91
671,2011-07-28,2.334,-82.92
672,2011-07-29,2.334,-82.93
673,2011-07-30,2.334,-82.94
674,2011-07-31,2.334,-82.95
675,2011-08-01,0.368,-82.96
676,2011-08-02,0.368,-82.97
677,2011-08-03,0.368,-82.98
678,2011-08-04,0.368,-82.99
679,2011-08-05,0.368,-83.0
680,2011-08-06,0.368,-83.01
681,2011-08-07,0.368,-83.02
682,2011-08-08,0.368,-83.05
683,2011-08-09,0.368,-83.06
684,2011-08-10,0.368,-83.07
685,2011-08-11,0.368,-83.08
686,2011-08-12,0.368,-83.09
687,2011-08-13,0.368,-83.1
688,2011-08-14,0.368,-83.11
689,2011-08-15,0.368,-83.12
690,2011-08-16,0.368,-83.13
691,2011-08-17,0.368,-83.14
692,2011-08-18,0.368,-83.15
693,2011-08-19,0.368,-83.16
694,2011-08-20,0.368,-83.17
695,2011-08-21,0.368,-83.18
696,2011-08-22,0.368,-83.19
697,2011-08-23,0.368,-83.2
698,2011-08-24,0.368,-83.21
699,2011-08-25,0.368,-83.22
700,2011-08-26,0.368,-83.23
701,2011-08-27,0.368,-83.24
702,2011-08-28,0.368,-83.25
703,2011-08-29,0.368,-83.26
704,2011-08-30,0.368,-83.27
705,2011-08-31,0.368,-83.28
706,2011-09-03,1.617,-83.29
707,2011-09-04,1.617,-83.3
708,2011-09-05,1.617,-83.31
709,2011-09-06,1.617,-83.32
710,2011-09-07,1.617,-83.33
711,2011-09-08,1.617,-83.34
712,2011-09-09,1.617,-83.35
713,2011-09-10,1.617,-83.36
714,2011-09-11,1.617,-83.37
715,2011-09-12,1.617,-83.38
716,2011-09-13,1.617,-83.39
717,2011-09-14,1.617,-83.4
718,2011-09-15,1.617,-83.41
719,2011-09-16,1.617,-83.42
720,2011-09-17,1.617,-83.43
721,2011-09-18,1.617,-83.44
722,2011-09-19,1.617,-83.45
723,2011-09-20,1.617,-83.46
724,2011-09-21,1.617,-83.47
725,2011-09-22,1.617,-83.48
726,2011-09-23,1.617,-83.49
727,2011-09-24,1.617,-83.5
728,2011-09-25,1.617,-83.51
729,2011-09-26,1.617,-83.52
730,2011-09-27,1.617,-83.55
731,2011-09-28,1.617,-83.56
732,2011-09-29,1.617,-83.57
733,2011-09-30,1.617,-83.58
734,2011-10-01,2.275,-83.59
735,2011-10-02,2.275,-83.6
736,2011-10-03,2.275,-83.61
737,2011-10-04,2.275,-83.62
738,2011-10-05,2.275,-83.63
739,2011-10-06,2.275,-83.64
740,2011-10-07,2.275,-83.65
741,2011-10-08,2.275,-83.66
742,2011-10-09,2.275,-83.67
743,2011-10-10,2.275,-83.68
744,2011-10-11,2.275,-83.69
745,2011-10-12,2.275,-83.7
746,2011-10-13,2.275,-83.71
747,2011-10-14,2.275,-83.72
748,2011-10-15,2.275,-83.73
749,2011-10-16,2.275,-83.74
750,2011-10-17,2.275,-83.75
751,2011-10-18,2.275,-83.76
752,2011-10-19,2.275,-83.77
753,2011-10-20,2.275,-83.78
754,2011-10-21,2.275,-83.79
755,2011-10-22,2.275,-83.8
756,2011-10-25,2.275,-83.81
757,2011-10-26,2.275,-83.82
